pergunta,categoria,nivel,resposta,exemplo,palavras_chave
O que é cartão amarelo?,Regras do jogo,Básico,Cartão amarelo é uma advertência dada pelo juiz quando um jogador comete uma infração mais séria ou tem uma atitude antidesportiva.,"Um jogador pode levar amarelo por falta dura, reclamação exagerada, simulação ou por atrasar o jogo.",cartão amarelo advertência falta juiz
O que é cartão vermelho?,Regras do jogo,Básico,Cartão vermelho significa expulsão. O jogador precisa sair da partida e o time fica com um jogador a menos.,"Pode acontecer por uma falta muito violenta, agressão ou quando o jogador recebe dois cartões amarelos no mesmo jogo.",cartão vermelho expulsão falta agressão
O que é escanteio?,Regras do jogo,Básico,Escanteio acontece quando a bola sai pela linha de fundo depois de tocar por último em um jogador do time que estava defendendo.,"Se um defensor tenta cortar a bola e ela sai atrás do próprio gol, o outro time ganha um escanteio.",escanteio corner linha de fundo defesa
O que é lateral?,Regras do jogo,Básico,Lateral acontece quando a bola sai pela linha lateral do campo.,"Se a bola encostar em um jogador do Brasil e sair pela lateral, a cobrança será do time adversário.",lateral arremesso linha lateral bola saiu
O que é tiro de meta?,Regras do jogo,Básico,Tiro de meta acontece quando a bola sai pela linha de fundo depois de tocar por último em um jogador do time que estava atacando.,"Se o atacante chuta para fora, passando ao lado do gol, o goleiro cobra o tiro de meta.",tiro de meta goleiro linha de fundo atacante
O que é falta?,Regras do jogo,Básico,"Falta acontece quando um jogador comete uma ação irregular contra o adversário, como empurrar, segurar, dar um carrinho perigoso ou derrubar.","Se um jogador derruba o outro de maneira imprudente, o juiz pode marcar falta.",falta carrinho empurrar segurar derrubar
O que é falta direta?,Regras do jogo,Intermediário,Falta direta é uma cobrança em que o jogador pode chutar direto para o gol.,"Se a falta acontece perto da área, o cobrador pode tentar fazer o gol direto na cobrança.",falta direta tiro livre direto cobrança gol
O que é falta indireta?,Regras do jogo,Intermediário,Falta indireta é uma cobrança em que a bola precisa tocar em outro jogador antes de entrar no gol para o gol valer.,"Se o jogador chutar uma falta indireta direto para o gol sem ninguém tocar, o gol não vale.",falta indireta tiro livre indireto cobrança toque
O que é mão na bola?,Regras do jogo,Intermediário,Mão na bola acontece quando um jogador toca a bola com a mão ou o braço de forma irregular.,"Nem todo toque no braço é falta. O juiz avalia posição do braço, movimento e se houve vantagem.",mão na bola braço falta penalti pênalti
O que é pênalti por falta dentro da área?,Regras do jogo,Básico,"Quando um jogador comete uma falta dentro da própria área, o adversário pode ganhar um pênalti.","Se um defensor derruba o atacante dentro da área, o juiz pode marcar pênalti.",penalti pênalti área falta dentro da área
O que é posse de bola?,Estatísticas,Básico,Posse de bola mostra quanto tempo cada time ficou com a bola durante o jogo.,"Se um time teve 60% de posse, significa que passou mais tempo controlando a bola do que o adversário.",posse de bola estatística controle jogo
O que são finalizações?,Estatísticas,Básico,Finalizações são as tentativas de chute ou cabeceio em direção ao gol adversário.,"Um time pode ter 15 finalizações, mas só 4 no alvo. Isso mostra que chutou bastante, mas nem sempre com precisão.",finalizações chutes chute gol estatística
O que é finalização no alvo?,Estatísticas,Básico,Finalização no alvo é quando o chute vai na direção do gol e obriga o goleiro a defender ou resulta em gol.,"Se o jogador chuta e a bola vai para fora, não conta como finalização no alvo.",finalização no alvo chute no gol goleiro defesa
O que é artilheiro?,Termos do futebol,Básico,Artilheiro é o jogador que faz muitos gols ou que lidera a lista de gols de uma competição.,O artilheiro da Copa é o jogador que marcou mais gols no torneio.,artilheiro gols jogador goleador
O que é zebra no futebol?,Termos do futebol,Básico,"Zebra é quando acontece um resultado inesperado, geralmente quando um time considerado mais fraco vence um favorito.","Se uma seleção pouco conhecida vence uma campeã mundial, muita gente chama isso de zebra.",zebra surpresa favorito resultado inesperado
O que é retranca?,Termos do futebol,Básico,"Retranca é quando um time joga de forma muito defensiva, priorizando não levar gol.",Um time pode fazer um gol e depois se fechar na defesa para segurar o resultado.,retranca defesa defensivo fechado
O que é camisa 10?,Termos do futebol,Básico,"Camisa 10 é uma expressão usada para falar de um jogador criativo, habilidoso e importante na criação das jogadas.","Mesmo que hoje a numeração varie, muita gente chama o principal jogador criativo do time de camisa 10.",camisa 10 craque meia criatividade
O que é capitão do time?,Termos do futebol,Básico,Capitão é o jogador que representa o time dentro de campo e usa uma faixa no braço.,Ele pode conversar com o juiz e costuma ser uma liderança para os companheiros.,capitão faixa liderança time
Quantos pontos vale uma vitória?,Formato da Copa,Básico,"Na fase de grupos, uma vitória vale 3 pontos.","Se uma seleção vence dois jogos, ela soma 6 pontos na tabela.",vitória pontos tabela fase grupos
Quantos pontos vale um empate?,Formato da Copa,Básico,"Na fase de grupos, um empate vale 1 ponto para cada seleção.","Se Brasil e França empatam, cada um soma 1 ponto na tabela.",empate pontos tabela fase grupos
O que acontece quando uma seleção perde na fase de grupos?,Formato da Copa,Básico,"Quando uma seleção perde na fase de grupos, ela não ganha pontos nessa partida, mas ainda pode se classificar dependendo dos outros resultados.","Uma seleção pode perder um jogo, vencer os outros dois e terminar bem colocada no grupo.",derrota fase grupos pontos classificação
O que é critério de desempate?,Formato da Copa,Intermediário,Critério de desempate é a regra usada para ordenar seleções que terminaram com a mesma pontuação.,"Se duas seleções têm os mesmos pontos, podem ser comparados saldo de gols, gols marcados e outros critérios definidos pela competição.",desempate critérios pontos saldo gols tabela
O que é gol contra?,Termos do futebol,Básico,Gol contra acontece quando um jogador manda a bola para dentro do próprio gol.,"Se um defensor tenta cortar um cruzamento e a bola entra no gol do próprio time, é gol contra.",gol contra próprio gol defensor
O que é substituição?,Regras do jogo,Básico,Substituição é quando um jogador sai e outro entra no lugar dele durante a partida.,O técnico pode trocar um jogador cansado por outro para mudar a estratégia do time.,substituição trocar jogador técnico
O que é escalação?,Termos do futebol,Básico,Escalação é a lista de jogadores escolhidos para começar ou participar de uma partida.,"Antes do jogo, os times divulgam os titulares e reservas disponíveis.",escalação titulares reservas jogadores
O que é goleada?,Termos do futebol,Básico,Goleada é uma vitória por muitos gols de diferença.,Um placar de 5 a 0 normalmente é considerado uma goleada.,goleada muitos gols vitória placar
O que é chaveamento?,Formato da Copa,Intermediário,"Chaveamento é o caminho dos confrontos na fase eliminatória, mostrando quem pode enfrentar quem até a final.","Depois que as seleções se classificam, o chaveamento mostra o possível caminho de cada uma no mata-mata.",chaveamento mata mata confrontos eliminatória caminho
O que é oitavas de final?,Formato da Copa,Básico,Oitavas de final é uma fase eliminatória tradicional em que restam 16 seleções na competição.,Quem vence nas oitavas avança para as quartas de final.,oitavas final 16 seleções mata mata
O que é quartas de final?,Formato da Copa,Básico,Quartas de final é a fase em que restam 8 seleções disputando vaga na semifinal.,Quem vence nas quartas passa para a semifinal.,quartas final 8 seleções semifinal
O que é semifinal?,Formato da Copa,Básico,Semifinal é a fase em que quatro seleções disputam vaga na grande final.,Os dois vencedores das semifinais vão para a final da Copa.,semifinal quatro seleções final
O que é disputa de terceiro lugar?,Formato da Copa,Básico,A disputa de terceiro lugar é o jogo entre as duas seleções que perderam nas semifinais.,Ela define quem fica oficialmente em terceiro e quarto lugar na Copa.,terceiro lugar disputa semifinal perdedores
Quem joga a final da Copa?,Formato da Copa,Básico,A final é disputada pelas duas seleções que venceram suas semifinais.,A seleção que vence a final se torna campeã mundial.,final copa campeão campeã semifinal
